Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,784.979612804,94.7511820199,428.141989851,0.0,34.9616554283,113.312780494,634.43905884,620.068963531,5.66466996096,8.70542534799
 01/01  02:00:00,775.287555071,94.7511820199,417.628337923,0.0,34.9616554283,113.312780494,647.55332954,624.497286533,5.66466996096,17.391373046
 01/01  03:00:00,770.335031477,94.7511820199,410.097031476,0.0,34.9616554283,113.312780494,642.498407243,628.127968258,5.66466996096,8.70576902403
 01/01  04:00:00,766.733360185,94.7511820199,404.83889495,0.0,34.9616554283,113.312780494,654.469939519,631.41349014,5.66466996096,17.3917794182
 01/01  05:00:00,774.010269251,94.7511820199,403.908234375,0.0,44.4937663224,113.312780494,636.868928389,622.498320749,5.66466996096,8.70593767871
 01/01  06:00:00,768.604940948,94.7511820199,396.645181494,0.0,44.4937663224,113.312780494,655.017262508,623.463499388,14.1616749024,17.3920882174
 01/01  07:00:00,834.682846146,94.7511820199,390.585052599,0.0,54.0258772165,176.889270242,593.672925898,556.643482159,28.3233498048,8.70609393432
 01/01  08:00:00,827.912786644,94.7511820199,389.70282752,0.0,54.0258772165,184.38654557,608.798107967,548.920693762,42.4850247072,17.3923894978
 01/01  09:00:00,909.724032179,94.7511820199,397.149040306,0.0,65.1572554096,220.04316451,599.540432064,525.433413465,56.6466996096,17.4603189895
 01/01  10:00:00,906.182203678,94.7511820199,402.666066016,0.0,65.1572554096,212.545889182,579.565923987,519.545272788,42.4850247072,17.5356264922
 01/01  11:00:00,920.678239789,94.7511820199,409.823772237,0.0,65.1572554096,220.04316451,610.896078875,513.691317999,70.808374512,26.3963863637
 01/01  12:00:00,927.135903593,94.7511820199,415.071317903,0.0,65.1572554096,220.04316451,606.490382195,509.282454789,70.808374512,26.3995528945
 01/01  13:00:00,940.569097902,94.7511820199,429.599532932,0.0,65.1572554096,220.04316451,602.031686332,504.823789046,70.808374512,26.3995227734
 01/01  14:00:00,943.898031985,94.7511820199,440.283212277,0.0,65.1572554096,212.545889182,584.901961195,501.856743568,56.6466996096,26.3985180173
 01/01  15:00:00,953.577994046,94.7511820199,449.881789925,0.0,65.1572554096,212.545889182,569.628792428,500.74624686,42.4850247072,26.3975208612
 01/01  16:00:00,960.498791005,94.7511820199,456.786568667,0.0,65.1572554096,212.545889182,583.076547528,500.033321178,56.6466996096,26.3965267398
 01/01  17:00:00,939.800926043,94.7511820199,457.587088819,0.0,65.1572554096,220.04316451,611.783081555,500.417662631,84.9700494144,26.3953695098
 01/01  18:00:00,903.32791257,94.7511820199,456.324137113,0.0,54.0258772165,184.38654557,622.248550424,519.745241717,84.9700494144,17.5332592933
 01/01  19:00:00,872.87480722,94.7511820199,456.305358768,0.0,44.4937663224,163.454314868,657.682700933,555.321296224,84.9700494144,17.3913552945
 01/01  20:00:00,858.565266631,94.7511820199,448.928825938,0.0,44.4937663224,155.95703954,625.423364044,560.069546349,56.6466996096,8.7071180854
 01/01  21:00:00,821.826010534,94.7511820199,443.646855285,0.0,44.4937663224,124.558693486,669.301332924,595.262943774,56.6466996096,17.3916895408
 01/01  22:00:00,821.242453033,94.7511820199,443.375565482,0.0,44.4937663224,124.558693486,649.578976671,598.386670153,42.4850247072,8.70728181115
 01/01  23:00:00,810.62525863,94.7511820199,442.756942917,0.0,34.9616554283,124.558693486,657.699202386,611.983866518,28.3233498048,17.391986063
 01/01  24:00:00,811.741264154,94.7511820199,442.698430048,0.0,34.9616554283,124.558693486,636.682342273,613.815860787,14.1616749024,8.70480658337
 01/02  01:00:00,810.054075163,94.7511820199,442.287974683,0.0,46.0930336215,113.312780494,637.634474963,614.57744507,5.66466996096,17.3923599321
 01/02  02:00:00,803.856226029,94.7511820199,435.739824984,0.0,46.0930336215,113.312780494,632.309558435,617.939886192,5.66466996096,8.70500228216
 01/02  03:00:00,799.602003897,94.7511820199,430.690782614,0.0,46.0930336215,113.312780494,642.614866257,619.557452065,5.66466996096,17.3927442314
 01/02  04:00:00,790.945076653,94.7511820199,419.983283274,0.0,46.0930336215,113.312780494,636.405464675,622.035635022,5.66466996096,8.70515969219
 01/02  05:00:00,863.688015983,94.7511820199,401.032185747,0.0,100.150657288,148.969399434,609.610376348,586.55326605,5.66466996096,17.3924403367
 01/02  06:00:00,851.496510455,94.7511820199,385.633690748,0.0,100.150657288,149.894399434,1162.68666264,1139.81967505,14.1616749024,8.70531268426
 01/02  07:00:00,1088.30860267,94.7511820199,399.117786095,0.0,176.471037341,302.612436532,782.777652131,737.060875247,28.3233498048,17.3934270793
 01/02  08:00:00,1220.7789847,94.7511820199,420.749978431,0.0,243.2593065,310.10971186,716.168010144,656.137945851,42.4850247072,17.5450395855
 01/02  09:00:00,1266.04380351,94.7511820199,428.701561179,0.0,243.2593065,310.10971186,706.220194478,623.144326737,56.6466996096,26.4291681319
 01/02  10:00:00,1307.20990111,94.7511820199,436.566321518,0.0,243.2593065,302.612436532,679.07113847,601.223180047,42.4850247072,35.3629337162
 01/02  11:00:00,1334.43001065,94.7511820199,456.191380973,0.0,243.2593065,310.10971186,677.688591872,571.332561924,70.808374512,35.5476554366
 01/02  12:00:00,1353.73044066,94.7511820199,474.248572622,0.0,243.2593065,310.10971186,653.917654575,547.490846842,70.808374512,35.6184332213
 01/02  13:00:00,1316.74829039,94.7657388302,479.036094943,0.0,243.2593065,310.10971186,634.181416876,527.93029171,70.808374512,35.4427506532
 01/02  14:00:00,1353.12250654,94.8676511112,481.541412013,0.0,243.2593065,302.612436532,606.22528988,513.958853244,56.6466996096,35.6197370267
 01/02  15:00:00,1355.90589214,94.9727628508,483.557151895,0.0,243.2593065,302.612436532,583.560670132,501.931612468,42.4850247072,39.1440329569
 01/02  16:00:00,1358.26627582,95.0685258605,485.606906074,0.0,243.2593065,302.612436532,579.340561417,490.774444174,56.6466996096,31.9194176342
 01/02  17:00:00,1369.85455234,95.1502213425,486.610009754,0.0,243.2593065,310.10971186,600.647165206,480.366345281,84.9700494144,35.3107705112
 01/02  18:00:00,1373.50673618,95.230379637,479.394374403,0.0,243.2593065,310.10971186,578.104824529,475.639739196,84.9700494144,17.495035919
 01/02  19:00:00,1085.5781528,94.7511820199,458.20094181,0.0,166.938926447,199.110933808,532.385930222,429.977297979,84.9700494144,17.4385828291
 01/02  20:00:00,1093.53124072,94.7511820199,473.094292085,0.0,166.938926447,191.61365848,506.362328353,432.279699229,56.6466996096,17.4359295142
 01/02  21:00:00,959.211324834,94.7511820199,472.710284374,0.0,100.150657288,124.558693486,540.062833987,474.68586258,56.6466996096,8.73027179806
 01/02  22:00:00,910.935775225,94.7511820199,463.966080804,0.0,100.150657288,124.558693486,538.116471033,478.234290751,42.4850247072,17.3971555752
 01/02  23:00:00,830.907210634,94.7511820199,451.593893303,0.0,46.0930336215,124.558693486,532.500820726,495.471295203,28.3233498048,8.70617571857
 01/02  24:00:00,833.00263771,94.7511820199,452.699254145,0.0,46.0930336215,124.558693486,530.375605918,498.821361363,14.1616749024,17.3925696526
 01/03  01:00:00,817.392032529,94.7511820199,449.587707795,0.0,46.0930336215,113.312780494,516.797616392,502.426558971,5.66466996096,8.70638745953
 01/03  02:00:00,811.924294123,94.7511820199,444.186833714,0.0,46.0930336215,113.312780494,528.701609598,505.643931512,5.66466996096,17.393008125
 01/03  03:00:00,804.716136909,94.7511820199,437.045035921,0.0,46.0930336215,113.312780494,532.559295168,509.503118716,5.66466996096,17.3915064907
 01/03  04:00:00,799.133150449,94.7511820199,431.510229999,0.0,46.0930336215,113.312780494,527.634415634,513.26394548,5.66466996096,8.70580019329
 01/03  05:00:00,891.291625833,94.7511820199,430.751877102,0.0,100.150657288,148.969399434,514.848283413,491.791764105,5.66466996096,17.3918493465
 01/03  06:00:00,884.384429794,94.7511820199,423.011105274,0.0,100.150657288,149.894399434,875.98567578,853.118013813,14.1616749024,8.70598706471
 01/03  07:00:00,1106.30152998,94.9244580781,417.007409832,0.0,176.471037341,302.612436532,622.295613823,576.580048368,28.3233498048,17.3922156509
 01/03  08:00:00,1216.60217252,95.216547339,416.281560363,0.0,243.2593065,310.10971186,590.691669975,530.66083251,42.4850247072,17.5458127579
 01/03  09:00:00,1254.09109046,95.3408521527,415.961662024,0.0,243.2593065,310.10971186,594.737389396,511.661642493,56.6466996096,26.4290472932
 01/03  10:00:00,1290.91796545,95.4365250047,419.487468435,0.0,243.2593065,302.612436532,580.021978841,502.181480836,42.4850247072,35.3554732984
 01/03  11:00:00,1304.78004533,95.5192222679,426.073413863,0.0,243.2593065,310.10971186,592.589761287,486.241019007,70.808374512,35.5403677673
 01/03  12:00:00,1309.37831034,95.6100703289,429.413365013,0.0,243.2593065,310.10971186,580.725148781,474.306767334,70.808374512,35.6100069345
 01/03  13:00:00,1268.24937313,95.8923641387,429.969119899,0.0,243.2593065,310.10971186,571.840510928,465.596306024,70.808374512,35.4358303919
 01/03  14:00:00,1302.14744632,96.2460230225,430.186211094,0.0,243.2593065,302.612436532,552.887794284,460.629205635,56.6466996096,35.6118890393
 01/03  15:00:00,1302.57956351,96.5792003918,430.271234547,0.0,243.2593065,302.612436532,534.213922403,456.174628094,42.4850247072,35.5542696012
 01/03  16:00:00,1307.95991098,96.8976471295,435.329041869,0.0,243.2593065,302.612436532,542.45429926,450.317527437,56.6466996096,35.490072214
 01/03  17:00:00,1317.25736136,97.1980425311,433.822046987,0.0,243.2593065,310.10971186,557.737740365,446.282083926,84.9700494144,26.4856070249
 01/03  18:00:00,1325.90407394,97.4837995006,430.641621741,0.0,243.2593065,310.10971186,555.389319005,444.189108521,84.9700494144,26.2301610691
 01/03  19:00:00,1056.95142671,94.7511820199,429.995537111,0.0,166.938926447,199.110933808,523.254777682,420.847783049,84.9700494144,17.4369452185
 01/03  20:00:00,1049.31558403,94.7511820199,429.889557958,0.0,166.938926447,191.61365848,489.579016721,424.202520557,56.6466996096,8.72979655364
 01/03  21:00:00,915.45663595,94.7511820199,429.866087718,0.0,100.150657288,124.558693486,538.325277705,464.240682609,56.6466996096,17.4378954869
 01/03  22:00:00,876.643629756,94.7511820199,430.360175441,0.0,100.150657288,124.558693486,529.326542171,469.444901978,42.4850247072,17.3966154859
 01/03  23:00:00,808.31549244,94.7511820199,429.146014997,0.0,46.0930336215,124.558693486,524.755505881,487.724926529,28.3233498048,8.70722954743
 01/03  24:00:00,808.74948328,94.7511820199,428.09483553,0.0,46.0930336215,124.558693486,524.171749794,492.618145673,14.1616749024,17.3919292186
 01/04  01:00:00,797.550509239,94.7511820199,428.841175253,0.0,46.0930336215,113.312780494,510.86195173,496.489822437,5.66466996096,8.7074593317
 01/04  02:00:00,797.35468649,94.7511820199,429.591243388,0.0,46.0930336215,113.312780494,522.793874996,499.736825081,5.66466996096,17.3923799549
 01/04  03:00:00,798.01810212,94.7511820199,429.954885996,0.0,46.0930336215,113.312780494,517.494178282,503.124491836,5.66466996096,8.70501648518
 01/04  04:00:00,790.895910099,94.7511820199,422.164201502,0.0,46.0930336215,113.312780494,530.688137303,507.63070584,5.66466996096,17.3927615027
 01/04  05:00:00,874.33993686,94.7511820199,416.498125745,0.0,100.150657288,148.969399434,503.160555028,488.790697439,5.66466996096,8.70518762863
 01/04  06:00:00,875.62027102,94.8773531055,416.270899437,0.0,100.150657288,149.894399434,818.857574425,787.301339982,14.1616749024,17.39455954
 01/04  07:00:00,1104.91833916,95.5536540977,416.044573584,0.0,176.471037341,302.612436532,591.006988506,553.978279652,28.3233498048,8.70535904976
 01/04  08:00:00,1217.11602886,96.1377111516,415.889777105,0.0,243.2593065,310.10971186,581.393153699,512.602651908,42.4850247072,26.3054770837
 01/04  09:00:00,1262.67263481,96.700990508,423.534567052,0.0,243.2593065,310.10971186,577.994839529,494.918357177,56.6466996096,26.4297827427
 01/04  10:00:00,1302.15288845,97.1047637417,429.310243079,0.0,243.2593065,302.612436532,555.417748353,486.413956795,42.4850247072,26.5187668503
 01/04  11:00:00,1317.41218953,97.4540013181,436.702950222,0.0,243.2593065,310.10971186,586.024798611,470.778367587,70.808374512,44.4380565118
 01/04  12:00:00,1324.03440219,97.7664188173,441.839786476,0.0,243.2593065,310.10971186,566.886750746,460.475668672,70.808374512,35.6027075616
 01/04  13:00:00,1290.56240428,98.0740319203,449.962024301,0.0,243.2593065,310.10971186,557.392004894,451.153847616,70.808374512,35.4297827665
 01/04  14:00:00,1330.29767672,98.4444501819,455.962109368,0.0,243.2593065,302.612436532,537.007449556,444.755708865,56.6466996096,35.6050410817
 01/04  15:00:00,1338.3128183,98.79560376,463.55793739,0.0,243.2593065,302.612436532,517.352688823,439.320094718,42.4850247072,35.5475693982
 01/04  16:00:00,1337.69751094,99.0987327675,462.689137563,0.0,243.2593065,302.612436532,527.515545325,435.384742359,56.6466996096,35.4841033566
 01/04  17:00:00,1342.69337772,99.3783002371,456.92958895,0.0,243.2593065,310.10971186,544.12641871,432.668891875,84.9700494144,26.4874774207
 01/04  18:00:00,1353.49882443,99.6467834957,455.921010542,0.0,243.2593065,310.10971186,533.423992741,430.959131242,84.9700494144,17.4948120846
 01/04  19:00:00,1090.71721382,94.7511820199,463.552385584,0.0,166.938926447,199.110933808,518.572753125,416.162607738,84.9700494144,17.4400959733
 01/04  20:00:00,1086.01620615,94.7511820199,465.731234899,0.0,166.938926447,191.61365848,493.70895524,419.624980144,56.6466996096,17.4372754862
 01/04  21:00:00,948.794030818,94.7511820199,462.40258882,0.0,100.150657288,124.558693486,534.096951175,460.010368361,56.6466996096,17.4398832036
 01/04  22:00:00,905.963336765,94.7511820199,459.036709427,0.0,100.150657288,124.558693486,515.810614314,464.616654689,42.4850247072,8.70893491814
 01/04  23:00:00,836.808034993,94.7511820199,457.457814042,0.0,46.0930336215,124.558693486,528.516137155,482.799607933,28.3233498048,17.3931794173
 01/04  24:00:00,837.779609045,94.7511820199,457.47258749,0.0,46.0930336215,124.558693486,518.048266572,486.494900192,14.1616749024,17.3916914773
 01/05  01:00:00,825.378422383,94.7511820199,457.541631348,0.0,46.0930336215,113.312780494,504.597087231,490.226473185,5.66466996096,8.70594408534
 01/05  02:00:00,817.19879744,94.7511820199,449.449418791,0.0,46.0930336215,113.312780494,518.274351126,495.2175124,5.66466996096,17.3921687645
 01/05  03:00:00,797.36686092,94.7511820199,429.53914707,0.0,46.0930336215,113.312780494,514.399089071,500.028266235,5.66466996096,8.70615287555
 01/05  04:00:00,787.062797687,94.7511820199,418.494545931,0.0,46.0930336215,113.312780494,526.683403867,503.626172432,5.66466996096,17.3925614747
 01/05  05:00:00,882.255250748,94.7511820199,424.348950029,0.0,100.150657288,148.969399434,498.73730161,484.366278346,5.66466996096,8.7063533031
 01/05  06:00:00,895.841138444,95.1377185161,436.097660846,0.0,100.150657288,149.894399434,797.727844072,766.173202964,14.1616749024,17.3929662061
 01/05  07:00:00,1130.83475876,96.1503590691,441.188521919,0.0,176.471037341,302.612436532,581.474000403,544.444089749,28.3233498048,8.70656084931
 01/05  08:00:00,1238.14405069,97.4016412338,435.528117584,0.0,243.2593065,310.10971186,571.379084036,502.588222398,42.4850247072,26.3058369312
 01/05  09:00:00,1277.91382272,97.8795920687,437.515080023,0.0,243.2593065,310.10971186,567.11156081,484.033759761,56.6466996096,26.4311014389
 01/05  10:00:00,1323.86057113,98.3440788607,449.640615719,0.0,243.2593065,302.612436532,543.514335976,474.505540645,42.4850247072,26.523770624
 01/05  11:00:00,1337.55328499,98.7614771858,455.422631869,0.0,243.2593065,310.10971186,564.453437901,458.086772935,70.808374512,35.5582904534
 01/05  12:00:00,1346.34333531,99.1358089107,462.659029305,0.0,243.2593065,310.10971186,561.332374861,446.00495788,70.808374512,44.5190424685
 01/05  13:00:00,1315.90338656,99.5045754766,473.701868327,0.0,243.2593065,310.10971186,532.734561975,435.345577336,70.808374512,26.5806101267
 01/05  14:00:00,1353.2723714,99.9399898273,477.13176222,0.0,243.2593065,302.612436532,519.221491015,418.057701303,56.6466996096,44.5170901018
 01/05  15:00:00,1357.17245031,100.19601096,480.261863711,0.0,243.2593065,302.612436532,489.75590131,411.729290043,42.4850247072,35.5415865591
 01/05  16:00:00,1359.90934792,100.403796652,482.97961578,0.0,243.2593065,302.612436532,501.157432191,409.032009649,56.6466996096,35.4787229317
 01/05  17:00:00,1344.12541046,100.611080218,457.003521101,0.0,243.2593065,310.10971186,516.92456532,405.465686371,84.9700494144,26.4888295354
 01/05  18:00:00,1349.87002708,100.768039369,451.172251124,0.0,243.2593065,310.10971186,517.981613124,415.519261396,84.9700494144,17.4923023139
 01/05  19:00:00,1056.58803822,94.7511820199,428.587235869,0.0,166.938926447,199.110933808,513.316632155,410.907805154,84.9700494144,17.4387775869
 01/05  20:00:00,1042.62114348,94.7511820199,417.462870946,0.0,166.938926447,191.61365848,489.921179755,415.836632791,56.6466996096,17.437847355
 01/05  21:00:00,886.360819907,94.7511820199,388.723320921,0.0,100.150657288,124.558693486,532.383486623,458.298262325,56.6466996096,17.4385246887
 01/05  22:00:00,841.58039508,94.7511820199,375.879783641,0.0,100.150657288,124.558693486,515.828797493,464.636084177,42.4850247072,8.70768860914
 01/05  23:00:00,781.021897364,94.7511820199,378.654948192,0.0,46.0930336215,124.558693486,528.566585221,482.850099758,28.3233498048,17.3931356585
 01/05  24:00:00,785.872533585,94.7511820199,380.774034393,0.0,46.0930336215,124.558693486,511.654158726,488.787119766,14.1616749024,8.70536405691
 01/06  01:00:00,781.812271386,94.7511820199,386.044008181,0.0,46.0930336215,113.312780494,517.069590291,494.011318977,5.66466996096,17.3936013528
 01/06  02:00:00,775.057917533,94.7511820199,375.533460003,0.0,46.0930336215,113.312780494,514.623598831,500.253343908,5.66466996096,8.70558496279
 01/06  03:00:00,763.609115659,94.7511820199,359.279517097,0.0,46.0930336215,113.312780494,529.286417403,506.227681943,5.66466996096,17.3940654991
 01/06  04:00:00,759.047743616,94.7511820199,352.768742872,0.0,46.0930336215,113.312780494,525.458498104,511.088039114,5.66466996096,8.70578902894
 01/06  05:00:00,848.620008575,94.7511820199,351.625959315,0.0,100.150657288,148.969399434,516.007477772,492.950956049,5.66466996096,17.3918517621
 01/06  06:00:00,853.314041608,95.2343250924,358.327972692,0.0,100.150657288,149.894399434,800.075831175,777.208155935,14.1616749024,8.70600033756
 01/06  07:00:00,1087.29266106,96.563059513,363.494551013,0.0,176.471037341,302.612436532,602.60533178,556.88959192,28.3233498048,17.392390055
 01/06  08:00:00,1201.80605947,97.9601643155,363.973351449,0.0,243.2593065,310.10971186,569.921321509,509.893948255,42.4850247072,17.5423485459
 01/06  09:00:00,1266.57379329,98.8451466541,390.568874903,0.0,243.2593065,310.10971186,563.880079105,471.999898077,56.6466996096,35.2334814178
 01/06  10:00:00,1334.37240075,99.460563842,430.960922964,0.0,243.2593065,302.612436532,514.504693026,445.490454025,42.4850247072,26.5292142937
 01/06  11:00:00,1360.42440522,99.9840611896,456.482343921,0.0,243.2593065,310.10971186,527.065379296,420.703831972,70.808374512,35.5531728125
 01/06  12:00:00,1372.73156784,100.427740068,467.835897045,0.0,243.2593065,310.10971186,507.052012561,400.618830772,70.808374512,35.6248072773
 01/06  13:00:00,1338.47267993,100.869391176,476.547738206,0.0,243.2593065,310.10971186,492.039599246,385.782875433,70.808374512,35.4483493011
 01/06  14:00:00,1374.38724573,101.237636588,482.591620721,0.0,243.2593065,302.612436532,475.013466396,373.837874452,56.6466996096,44.5288923344
 01/06  15:00:00,1382.01476753,101.437510386,484.594160988,0.0,243.2593065,302.612436532,439.74640297,361.724180819,42.4850247072,35.5371974435
 01/06  16:00:00,1378.42935839,101.55775361,483.293605464,0.0,243.2593065,302.612436532,452.035755015,359.914937312,56.6466996096,35.4741180937
 01/06  17:00:00,1386.47718177,101.652572858,486.433567826,0.0,243.2593065,310.10971186,481.094185318,369.633423397,84.9700494144,26.4907125063
 01/06  18:00:00,1360.55847771,101.762329486,451.76007088,0.0,243.2593065,310.10971186,488.580098535,386.115962805,84.9700494144,17.4940863155
 01/06  19:00:00,1038.41365898,94.7511820199,395.651745846,0.0,166.938926447,199.110933808,495.307816163,392.896760209,84.9700494144,17.44100654
 01/06  20:00:00,1021.22784443,94.7511820199,381.341378655,0.0,166.938926447,191.61365848,474.90055722,400.815246645,56.6466996096,17.4386109657
 01/06  21:00:00,892.973187928,94.7511820199,387.013088871,0.0,100.150657288,124.558693486,515.467460892,441.384453254,56.6466996096,17.4363080278
 01/06  22:00:00,836.670908107,94.7511820199,362.323846766,0.0,100.150657288,124.558693486,501.558539631,450.364343249,42.4850247072,8.7091716745
 01/06  23:00:00,758.903585591,94.7511820199,345.992683233,0.0,46.0930336215,124.558693486,516.034231699,470.317599016,28.3233498048,17.3932828786
 01/06  24:00:00,759.432034173,94.7511820199,348.842366774,0.0,46.0930336215,124.558693486,499.365662496,476.497149447,14.1616749024,8.70683814603
 01/07  01:00:00,735.450895652,94.7511820199,332.446726731,0.0,46.0930336215,113.312780494,506.346190272,483.28874441,5.66466996096,17.3927759006
 01/07  02:00:00,717.947333619,94.7511820199,303.310748728,0.0,46.0930336215,113.312780494,505.126915354,490.755139822,5.66466996096,8.70710557078
 01/07  03:00:00,695.251412745,94.7511820199,275.553974543,0.0,46.0930336215,113.312780494,540.751256971,517.694814006,5.66466996096,17.3917730045
 01/07  04:00:00,681.374232206,94.7511820199,263.632159737,0.0,46.0930336215,113.312780494,549.898463211,535.526457008,5.66466996096,8.70733624143
 01/07  05:00:00,693.393766231,94.7511820199,268.374749163,0.0,55.6251445156,113.312780494,543.858004075,520.801140373,5.66466996096,17.3921937411
 01/07  06:00:00,690.949834763,94.7511820199,265.881332987,0.0,55.6251445156,113.312780494,554.417382802,531.548144425,14.1616749024,8.70756347442
 01/07  07:00:00,760.526872391,94.7511820199,267.291904345,0.0,65.1572554096,176.889270242,516.28541333,470.569452307,28.3233498048,17.392611218
 01/07  08:00:00,945.092009101,95.0567946151,338.85366718,0.0,109.682768182,220.96816451,764.680092178,713.489911658,42.4850247072,8.70515581259
 01/07  09:00:00,946.953994305,95.0541564159,338.374719643,0.0,109.682768182,220.96816451,666.520168934,592.398160211,56.6466996096,17.475309114
 01/07  10:00:00,1026.83590865,95.4340072861,318.643279559,0.0,131.945524568,266.955817592,625.442368047,556.640247186,42.4850247072,26.3170961535
 01/07  11:00:00,1054.06691734,95.5498310163,352.111028415,0.0,131.945524568,274.45309292,628.118948402,530.882004186,70.808374512,26.4285697042
 01/07  12:00:00,1079.90994635,95.6272690978,385.915574867,0.0,131.945524568,274.45309292,611.997196334,514.76406348,70.808374512,26.4247583417
 01/07  13:00:00,1070.79731128,95.6837489979,412.629629628,0.0,131.945524568,274.45309292,599.707677543,502.478661921,70.808374512,26.4206411108
 01/07  14:00:00,1091.27363914,95.7341387411,445.62622375,0.0,131.945524568,266.955817592,575.055604694,491.987162249,56.6466996096,26.421742836
 01/07  15:00:00,1110.85228818,95.8135294906,463.630179133,0.0,131.945524568,266.955817592,545.948001663,477.041087282,42.4850247072,26.4218896737
 01/07  16:00:00,1040.3438272,94.7511820199,469.815690992,0.0,109.682768182,212.545889182,434.619474531,351.55017027,56.6466996096,26.422604651
 01/07  17:00:00,1055.45684034,94.7511820199,470.176331709,0.0,109.682768182,220.04316451,475.776550482,364.38821237,84.9700494144,26.418288698
 01/07  18:00:00,990.851136161,94.7511820199,438.438024056,0.0,109.682768182,220.04316451,493.792267438,382.522335302,84.9700494144,26.2998827217
 01/07  19:00:00,929.358710269,94.7511820199,412.206611034,0.0,100.150657288,199.110933808,515.905567094,422.22974903,84.9700494144,8.70576864918
 01/07  20:00:00,899.471467792,94.7511820199,384.401154959,0.0,100.150657288,191.61365848,503.229882958,429.189951889,56.6466996096,17.3932314586
 01/07  21:00:00,768.935880459,94.7511820199,360.776017482,0.0,55.6251445156,124.558693486,540.603788714,475.251145349,56.6466996096,8.70594375542
 01/07  22:00:00,785.232997699,94.7511820199,368.244299163,0.0,55.6251445156,124.558693486,540.885545256,481.008361444,42.4850247072,17.3921591054
 01/07  23:00:00,780.596362721,94.7511820199,376.769883998,0.0,46.0930336215,124.558693486,534.04088065,497.011381236,28.3233498048,8.70614960884
 01/07  24:00:00,785.147333103,94.7511820199,390.354677699,0.0,46.0930336215,124.558693486,534.095188642,502.540935087,14.1616749024,17.3925786528
 01/08  01:00:00,761.923801841,94.7511820199,393.36769401,0.0,34.9616554283,113.312780494,522.947103556,508.576029012,5.66466996096,8.7064045821
 01/08  02:00:00,748.44956568,94.7511820199,376.169705973,0.0,34.9616554283,113.312780494,538.414100231,515.356329214,5.66466996096,17.3931010561
 01/08  03:00:00,741.10776423,94.7511820199,366.352805745,0.0,34.9616554283,113.312780494,537.359597937,522.988284106,5.66466996096,8.70664387065
 01/08  04:00:00,740.609821946,94.7511820199,364.957899633,0.0,34.9616554283,113.312780494,552.782171612,529.723951301,5.66466996096,17.3935503507
 01/08  05:00:00,750.671502985,94.7511820199,364.535965785,0.0,44.4937663224,113.312780494,548.079471752,525.022700415,5.66466996096,17.392101376
 01/08  06:00:00,752.369141006,94.7511820199,364.733179577,0.0,44.4937663224,113.312780494,551.4291922,528.561393228,14.1616749024,8.70612406944
 01/08  07:00:00,822.845363342,94.7511820199,364.411629491,0.0,54.0258772165,176.889270242,511.445813528,465.72992192,28.3233498048,17.3925418037
 01/08  08:00:00,818.332728338,94.7511820199,364.199165133,0.0,54.0258772165,184.38654557,511.510920747,460.319542645,42.4850247072,8.70635339444
 01/08  09:00:00,899.840630019,94.7511820199,377.009725023,0.0,65.1572554096,220.04316451,519.020011336,444.912251531,56.6466996096,17.4610601954
 01/08  10:00:00,909.945277023,94.7511820199,400.434116407,0.0,65.1572554096,212.545889182,508.95862197,440.18295875,42.4850247072,26.2906385128
 01/08  11:00:00,927.682366045,94.7511820199,412.159833132,0.0,65.1572554096,220.04316451,533.91712397,436.7101657,70.808374512,26.3985837578
 01/08  12:00:00,934.698867784,94.7511820199,421.568774196,0.0,65.1572554096,220.04316451,522.922333315,434.507300414,70.808374512,17.6066583892
 01/08  13:00:00,945.751929339,94.7511820199,434.798159012,0.0,65.1572554096,220.04316451,530.668018927,433.457295988,70.808374512,26.4023484274
 01/08  14:00:00,952.745387876,94.7511820199,449.107488623,0.0,65.1572554096,212.545889182,516.038194209,432.98995599,56.6466996096,26.4015386092
 01/08  15:00:00,966.763308619,94.7511820199,463.015067717,0.0,65.1572554096,212.545889182,501.491188376,432.605423472,42.4850247072,26.4007401973
 01/08  16:00:00,979.101034197,94.7511820199,475.287914486,0.0,65.1572554096,212.545889182,514.802308758,431.755664507,56.6466996096,26.3999446414
 01/08  17:00:00,957.441781911,94.7511820199,475.152431089,0.0,65.1572554096,220.04316451,545.319049472,433.949848714,84.9700494144,26.3991513445
 01/08  18:00:00,917.733042276,94.7511820199,470.679328783,0.0,54.0258772165,184.38654557,561.866917491,450.606224311,84.9700494144,26.2906437653
 01/08  19:00:00,880.85133281,94.7511820199,464.280726402,0.0,44.4937663224,163.454314868,580.949226115,487.27389686,84.9700494144,8.70527984128
 01/08  20:00:00,867.929335436,94.7511820199,458.271892516,0.0,44.4937663224,155.95703954,567.134287059,493.094252776,56.6466996096,17.3933346732
 01/08  21:00:00,808.098008873,94.7511820199,428.701359898,0.0,44.4937663224,124.558693486,597.19994057,531.847761537,56.6466996096,8.70547942337
 01/08  22:00:00,800.315071831,94.7511820199,421.417381795,0.0,44.4937663224,124.558693486,596.072118269,536.193295593,42.4850247072,17.3937979695
